00020c	1	16756	Metro-Optix
00020d	1	16756	Micronpc.com
00020e	1	18079	ECI Telecom Ltd.
00020f	1	16756	AATR
000210	1	16756	Fenecom
000211	1	16756	Nature Worldwide Technology Corp.
000212	1	16756	SierraCom
000213	1	16756	S.D.E.L.
000214	1	16756	DTVRO
000215	1	16756	Cotas Computer Technology A/B
000216	1	16756	Cisco Systems, Inc
000217	1	16756	Cisco Systems, Inc
000218	1	16756	Advanced Scientific Corp
000219	1	16756	Paralon Technologies
00021a	1	16756	Zuma Networks
00021b	1	16756	Kollmorgen-Servotronix
00021c	1	16756	Network Elements, Inc.
00021d	1	16756	Data General Communication Ltd.
00021e	1	16756	SIMTEL S.R.L.
00021f	1	16756	Aculab PLC
000220	1	16756	CANON FINETECH INC.
000221	1	16756	DSP Application, Ltd.
000222	1	16756	Chromisys, Inc.
000223	1	16756	ClickTV
000224	1	16756	C-COR
000225	1	16756	One Stop Systems
000226	1	16756	XESystems, Inc.
000227	1	16756	ESD Electronic System Design GmbH
000228	1	16756	Necsom, Ltd.
000229	1	16756	Adtec Corporation
00022a	1	16756	Asound Electronic
00022b	1	16756	SAXA, Inc.
00022c	1	16756	ABB Bomem, Inc.
00022d	1	16756	Agere Systems
00022e	1	16756	TEAC Corp. R& D
00022f	1	16756	P-Cube, Ltd.
000230	1	16756	Intersoft Electronics
000231	1	20585	Ingersoll-Rand
000232	1	16756	Avision, Inc.
000233	1	16756	Mantra Communications, Inc.
000234	1	16756	Imperial Technology, Inc.
000235	1	16756	Paragon Networks International
000236	1	16756	INIT GmbH
000237	1	16756	Cosmo Research Corp.
000238	1	16756	Serome Technology, Inc.
000239	1	16756	Visicom
00023a	1	16756	ZSK Stickmaschinen GmbH
00023b	1	16756	Ericsson
00023c	1	16756	Creative Technology, Ltd.
00023d	1	16756	Cisco Systems, Inc
00023e	1	16756	Selta Telematica S.p.a
00023f	1	17646	Compal Electronics INC.
000240	1	16756	Seedek Co., Ltd.
000241	1	16756	Amer.com
000242	1	16756	Videoframe Systems
000243	1	16756	Raysis Co., Ltd.
000244	1	16756	SURECOM Technology Co.
000245	1	16756	Lampus Co, Ltd.
000246	1	16756	All-Win Tech Co., Ltd.
000247	1	16756	Great Dragon Information Technology (Group) Co., Ltd.
000248	1	16756	Pilz GmbH & Co.
000249	1	16756	Aviv Infocom Co, Ltd.
00024a	1	16756	Cisco Systems, Inc
00024b	1	16756	Cisco Systems, Inc
00024c	1	16756	SiByte, Inc.
00024d	1	16756	Mannesman Dematic Colby Pty. Ltd.
00024e	1	16756	Datacard Group
00024f	1	16756	IPM Datacom S.R.L.
000250	1	16756	Geyser Networks, Inc.
000251	1	16756	Soma Networks, Inc.
000252	1	16756	Carrier Corporation
000253	1	16756	Televideo, Inc.
000254	1	16756	WorldGate
000255	1	16756	IBM Corp
000256	1	16756	Alpha Processor, Inc.
000257	1	16756	Microcom Corp.
000258	1	16756	Flying Packets Communications
000259	1	16756	Tsann Kuen China (Shanghai)Enterprise Co., Ltd. IT Group
00025a	1	16756	Catena Networks
00025b	1	16756	Cambridge Silicon Radio
00025c	1	16756	SCI Systems (Kunshan) Co., Ltd.
00025d	1	16756	Calix Networks
00025e	1	16756	High Technology Ltd
00025f	1	16756	Nortel Networks
